Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0000,22,SAT,Random,14,1,19.331215143203735
sudoku-0000,22,SAT,Two-Sided Jeroslow-Wang,26,6,23.48215913772583
sudoku-0000,22,SAT,Dynamic largest individual sum,16696,16641,1424.7856469154358
sudoku-0000,22,SAT,Random,20,1,12.735035181045532
sudoku-0000,22,SAT,Two-Sided Jeroslow-Wang,26,6,15.738166093826294
sudoku-0000,22,SAT,Dynamic largest individual sum,16696,16641,1140.6130287647247
sudoku-0001,22,SAT,Random,69,35,15.4690420627594
sudoku-0001,22,SAT,Two-Sided Jeroslow-Wang,13,0,10.490943193435669
sudoku-0001,22,SAT,Dynamic largest individual sum,292,225,23.933252096176147
sudoku-0002,23,SAT,Random,23,6,9.751405715942383
sudoku-0002,23,SAT,Two-Sided Jeroslow-Wang,6,0,8.915324926376343
sudoku-0002,23,SAT,Dynamic largest individual sum,314,264,19.310654163360596
sudoku-0003,23,SAT,Random,10,0,9.500346660614014
sudoku-0003,23,SAT,Two-Sided Jeroslow-Wang,8,1,9.064931154251099
sudoku-0003,23,SAT,Dynamic largest individual sum,222,176,16.55820345878601
sudoku-0004,23,SAT,Random,9,0,9.396665573120117
sudoku-0004,23,SAT,Two-Sided Jeroslow-Wang,11,0,9.915533781051636
sudoku-0004,23,SAT,Dynamic largest individual sum,125,65,14.220499038696289
sudoku-0005,23,SAT,Random,8,0,9.190519332885742
sudoku-0005,23,SAT,Two-Sided Jeroslow-Wang,14,2,9.152493238449097
sudoku-0005,23,SAT,Dynamic largest individual sum,93,57,11.27203106880188
sudoku-0006,23,SAT,Random,6,1,8.788696765899658
sudoku-0006,23,SAT,Two-Sided Jeroslow-Wang,8,3,9.114487886428833
sudoku-0006,23,SAT,Dynamic largest individual sum,130,112,10.692557334899902
sudoku-0007,23,SAT,Random,3,0,8.789133787155151
sudoku-0007,23,SAT,Two-Sided Jeroslow-Wang,4,0,8.473990201950073
sudoku-0007,23,SAT,Dynamic largest individual sum,38,21,8.758348941802979
sudoku-0008,23,SAT,Random,10,2,9.175518989562988
sudoku-0008,23,SAT,Two-Sided Jeroslow-Wang,11,1,9.444719791412354
sudoku-0008,23,SAT,Dynamic largest individual sum,76,27,10.913290739059448
sudoku-0009,23,SAT,Random,24,2,11.279053211212158
sudoku-0009,23,SAT,Two-Sided Jeroslow-Wang,9,0,10.154704093933105
sudoku-0009,23,SAT,Dynamic largest individual sum,252,193,21.98339319229126
sudoku-0010,23,SAT,Random,49,33,16.175899982452393
sudoku-0010,23,SAT,Two-Sided Jeroslow-Wang,20,3,11.02834153175354
sudoku-0010,23,SAT,Dynamic largest individual sum,1254,1197,76.9903633594513
sudoku-0011,23,SAT,Random,5,0,8.669963598251343
sudoku-0011,23,SAT,Two-Sided Jeroslow-Wang,7,0,8.47953486442566
sudoku-0011,23,SAT,Dynamic largest individual sum,35,17,9.025362491607666
sudoku-0012,23,SAT,Random,8,1,9.285473585128784
sudoku-0012,23,SAT,Two-Sided Jeroslow-Wang,5,1,9.038912773132324
